Level	AC	AC(N)	AC(H)	L-AC	L-AC(N)	L-AC(H)	TH	TH(N)	TH(H)	L-TH	L-TH(N)	L-TH(H)	HP	HP(N)	HP(H)	L-HP	L-HP(N)	L-HP(H)	DM	DM(N)	DM(H)	L-DM	L-DM(N)	L-DM(H)	XP	XP(N)	XP(H)	L-XP	L-XP(N)	L-XP(H)
21	126	296	446	126	348	525	712	1213	1753	712	1213	1753	265	612	2299	265	612	3066	48	50	47	48	50	47	330	857	1286	330	857	1286
22	132	306	461	132	360	542	742	1250	1811	742	1250	1811	282	625	2325	282	625	3100	48	50	47	48	50	47	363	942	1413	363	942	1413
23	138	316	476	138	372	560	772	1286	1868	772	1286	1868	297	633	2353	297	633	3138	50	52	50	50	52	50	399	1035	1553	399	1035	1553
24	144	326	491	144	384	578	801	1321	1925	801	1321	1925	310	646	2378	310	646	3171	53	54	53	53	54	53	439	1139	1709	439	1139	1709
25	150	337	506	150	396	595	830	1356	1980	830	1356	1980	327	656	2405	327	656	3207	53	54	53	53	54	53	470	1220	1830	470	1220	1830
26	156	347	521	156	408	613	858	1390	2035	858	1390	2035	343	668	2429	343	668	3239	55	58	55	55	58	55	503	1305	1958	503	1305	1958
27	162	357	536	162	420	630	885	1423	2089	885	1423	2089	363	680	2455	363	680	3274	55	58	55	55	58	55	538	1397	2096	538	1397	2096
28	168	367	551	168	432	648	911	1455	2142	911	1455	2142	381	686	2479	381	686	3305	58	59	57	58	59	57	576	1494	2241	576	1494	2241
29	174	377	566	174	444	666	937	1487	2195	937	1487	2195	396	697	2503	396	697	3338	60	61	60	60	61	60	616	1598	2397	616	1598	2397
30	180	388	581	180	456	683	962	1518	2246	962	1518	2246	418	771	2526	418	771	3368	60	61	60	60	61	60	659	1709	2564	659	1709	2564
31	186	398	596	186	468	701	987	1548	2297	987	1548	2297	438	848	2550	438	848	3400	62	65	63	62	65	63	706	1832	2748	706	1832	2748
32	192	408	610	192	480	718	1010	1577	2348	1010	1577	2348	458	919	2571	458	919	3428	62	65	63	62	65	63	755	1958	2937	755	1958	2937
33	198	418	626	198	492	736	1033	1606	2397	1033	1606	2397	478	993	2594	478	993	3460	64	66	66	64	66	66	808	2097	3146	808	2097	3146
34	204	428	641	204	504	754	1056	1634	2445	1056	1634	2445	497	1061	2615	497	1061	3487	66	68	69	66	68	69	864	2241	3362	864	2241	3362
35	210	439	655	210	516	771	1078	1661	2493	1078	1661	2493	515	1133	2637	515	1133	3517	66	68	69	66	68	69	925	2399	3599	925	2399	3599
36	216	449	671	216	528	789	1099	1687	2540	1099	1687	2540	533	1200	2657	533	1200	3542	68	71	71	68	71	71	990	2568	3852	990	2568	3852
37	222	459	685	222	540	806	1119	1713	2587	1119	1713	2587	551	1267	2678	551	1267	3571	68	71	71	68	71	71	1059	2745	4118	1059	2745	4118
38	228	469	700	228	552	824	1139	1738	2632	1139	1738	2632	568	1332	2697	568	1332	3596	69	72	72	69	72	72	1133	2939	4409	1133	2939	4409
39	234	479	716	234	564	842	1158	1762	2677	1158	1762	2677	585	1395	2717	585	1395	3623	71	74	75	71	74	75	1212	3144	4716	1212	3144	4716
40	240	490	730	240	576	859	1176	1786	2721	1176	1786	2721	604	1457	2735	604	1457	3647	71	74	75	71	74	75	1297	3365	5048	1297	3365	5048
41	246	500	745	246	588	877	1194	1809	2764	1194	1809	2764	625	1520	2754	625	1520	3673	73	77	77	73	77	77	1388	3600	5400	1388	3600	5400
42	252	510	760	252	600	894	1211	1831	2806	1211	1831	2806	643	1578	2772	643	1578	3695	73	77	77	73	77	77	1485	3852	5778	1485	3852	5778
43	258	520	775	258	612	912	1227	1852	2848	1227	1852	2848	660	1638	2790	660	1638	3720	74	78	79	74	78	79	1589	4121	6182	1589	4121	6182
44	264	530	791	264	624	930	1243	1872	2889	1243	1872	2889	679	1692	2806	679	1692	3741	76	79	82	76	79	82	1693	4409	6614	1693	4409	6614
45	270	541	805	270	636	947	1258	1892	2929	1258	1892	2929	696	1749	2823	696	1749	3765	76	79	82	76	79	82	1797	4718	7077	1797	4718	7077
46	276	551	820	276	648	965	1272	1911	2968	1272	1911	2968	711	1805	2839	711	1805	3785	77	82	84	77	82	84	1901	5051	7577	1901	5051	7577
47	282	561	835	282	660	982	1286	1930	3007	1286	1930	3007	729	1856	2855	729	1856	3807	77	82	84	77	82	84	2005	5402	8103	2005	5402	8103
48	288	571	850	288	672	1000	1299	1947	3044	1299	1947	3044	743	1909	2870	743	1909	3826	77	82	86	77	82	86	2109	5783	8675	2109	5783	8675
49	294	581	865	294	684	1018	1311	1964	3081	1311	1964	3081	757	1956	2885	757	1956	3847	79	83	87	79	83	87	2213	6186	9279	2213	6186	9279
50	300	592	880	300	696	1035	1323	1980	3117	1323	1980	3117	775	2006	2898	775	2006	3864	79	83	87	79	83	87	2317	6618	9927	2317	6618	9927
51	306	602	895	306	708	1053	1334	1996	3153	1334	1996	3153	793	2053	2913	793	2053	3884	80	86	88	80	86	88	2421	7080	10620	2421	7080	10620
52	312	612	910	312	720	1070	1344	2011	3188	1344	2011	3188	808	2099	2926	808	2099	3901	80	86	88	80	86	88	2525	7506	11259	2525	7506	11259
53	318	622	925	318	732	1088	1354	2025	3221	1354	2025	3221	824	2143	2939	824	2143	3919	80	86	90	80	86	90	2629	7956	11934	2629	7956	11934
54	324	632	940	324	744	1106	1363	2038	3254	1363	2038	3254	837	2186	2963	837	2186	3951	81	87	92	81	87	92	2733	8435	12653	2733	8435	12653
55	330	643	955	330	756	1123	1371	2050	3287	1371	2050	3287	852	2227	3007	852	2227	4010	81	87	92	81	87	92	2837	8942	13413	2837	8942	13413
56	336	653	970	336	768	1141	1379	2062	3318	1379	2062	3318	867	2269	3072	867	2269	4097	82	89	94	82	89	94	2941	9477	14216	2941	9477	14216
57	342	663	984	342	780	1158	1386	2073	3349	1386	2073	3349	878	2305	3175	878	2305	4232	82	89	94	82	89	94	3045	10044	15066	3045	10044	15066
58	348	673	1000	348	792	1176	1392	2083	3379	1392	2083	3379	891	2344	3274	891	2344	4365	82	89	96	82	89	96	3149	10647	15971	3149	10647	15971
59	354	683	1015	354	804	1194	1397	2093	3408	1397	2093	3408	904	2378	3372	904	2378	4495	83	89	96	83	89	96	3253	11286	16929	3253	11286	16929
60	360	694	1029	360	816	1211	1402	2102	3437	1402	2102	3437	918	2414	3467	918	2414	4624	83	89	96	83	89	96	3357	11964	17946	3357	11964	17946
61	366	704	1045	366	828	1229	1407	2110	3464	1407	2110	3464	931	2449	3563	931	2449	4749	83	91	98	83	91	98	3461	12680	19020	3461	12680	19020
62	372	714	1059	372	840	1246	1410	2117	3491	1410	2117	3491	943	2479	3655	943	2479	4873	83	91	98	83	91	98	3565	13442	20163	3565	13442	20163
63	378	724	1074	378	852	1264	1413	2124	3517	1413	2124	3517	955	2511	3746	955	2511	4994	83	91	99	83	91	99	3669	14249	21374	3669	14249	21374
64	384	734	1090	384	864	1282	1415	2130	3543	1415	2130	3543	966	2538	3834	966	2538	5113	83	91	99	83	91	99	3773	15104	22656	3773	15104	22656
65	390	745	1104	390	876	1299	1417	2135	3567	1417	2135	3567	974	2567	3923	974	2567	5229	83	91	100	83	91	100	3877	16010	24015	3877	16010	24015
66	396	755	1119	396	888	1317	1418	2139	3591	1418	2139	3591	983	2593	4008	983	2593	5343	83	93	102	83	93	102	3981	16916	25374	3981	16916	25374
67	402	765	1134	402	900	1334	1418	2143	3614	1418	2143	3614	992	2617	4092	992	2617	5455	83	93	102	83	93	102	4085	17822	26733	4085	17822	26733
68	408	775	1149	408	912	1352	1418	2146	3636	1418	2146	3636	1000	2640	4173	1000	2640	5565	83	93	103	83	93	103	4189	18728	28092	4189	18728	28092
69	414	785	1165	414	924	1370	1418	2148	3658	1418	2148	3658	1008	2662	4255	1008	2662	5672	83	93	105	83	93	105	4293	19634	29451	4293	19634	29451
70	420	796	1179	420	936	1387	1418	2149	3678	1418	2149	3678	1018	2683	4333	1018	2683	5776	83	93	105	83	93	105	4397	20540	30810	4397	20540	30810
71	426	806	1194	426	948	1405	1418	2150	3698	1418	2150	3698	1026	2703	4409	1026	2703	5879	83	93	105	83	93	105	4501	21446	32169	4501	21446	32169
72	432	816	1209	432	960	1422	1418	2150	3717	1418	2150	3717	1032	2719	4484	1032	2719	5979	83	93	105	83	93	105	4605	22352	33528	4605	22352	33528
73	438	826	1224	438	972	1440	1418	2150	3736	1418	2150	3736	1040	2737	4558	1040	2737	6076	83	93	106	83	93	106	4709	23258	34887	4709	23258	34887
74	444	836	1239	444	984	1458	1418	2150	3753	1418	2150	3753	1046	2751	4629	1046	2751	6172	83	93	107	83	93	107	4813	24164	36246	4813	24164	36246
75	450	847	1254	450	996	1475	1418	2150	3770	1418	2150	3770	1050	2766	4699	1050	2766	6265	83	93	107	83	93	107	4917	25070	37605	4917	25070	37605
76	456	857	1269	456	1008	1493	1418	2150	3786	1418	2150	3786	1054	2779	4766	1054	2779	6355	83	93	108	83	93	108	5021	25976	38964	5021	25976	38964
77	462	867	1284	462	1020	1510	1418	2150	3801	1418	2150	3801	1058	2788	4834	1058	2788	6444	83	93	108	83	93	108	5125	26882	40323	5125	26882	40323
78	468	877	1299	468	1032	1528	1418	2150	3816	1418	2150	3816	1060	2799	4898	1060	2799	6530	83	93	109	83	93	109	5229	27788	41682	5229	27788	41682
79	474	887	1314	474	1044	1546	1418	2150	3829	1418	2150	3829	1061	2806	4960	1061	2806	6613	83	93	110	83	93	110	5333	28694	43041	5333	28694	43041
80	480	898	1329	480	1056	1563	1418	2150	3842	1418	2150	3842	1065	2813	5021	1065	2813	6695	83	93	110	83	93	110	5437	29600	44400	5437	29600	44400
81	486	908	1344	486	1068	1581	1418	2150	3855	1418	2150	3855	1068	2819	5081	1068	2819	6773	83	93	111	83	93	111	5541	30506	45759	5541	30506	45759
82	492	918	1358	492	1080	1598	1418	2150	3866	1418	2150	3866	1068	2822	5138	1068	2822	6850	83	93	111	83	93	111	5645	31412	47118	5645	31412	47118
83	498	928	1374	498	1092	1616	1418	2150	3876	1418	2150	3876	1069	2825	5193	1069	2825	6924	83	93	111	83	93	111	5749	32318	48477	5749	32318	48477
84	504	938	1389	504	1104	1634	1418	2150	3886	1418	2150	3886	1069	2826	5247	1069	2826	6996	83	93	111	83	93	111	5853	33224	49836	5853	33224	49836
85	510	949	1403	510	1116	1651	1418	2150	3895	1418	2150	3895	1069	2826	5300	1069	2826	7066	83	93	111	83	93	111	5957	34130	51195	5957	34130	51195
86	516	959	1419	516	1128	1669	1418	2150	3904	1418	2150	3904	1069	2826	5350	1069	2826	7133	83	93	111	83	93	111	6061	35036	52554	6061	35036	52554
87	522	969	1433	522	1140	1686	1418	2150	3911	1418	2150	3911	1069	2826	5398	1069	2826	7198	83	93	111	83	93	111	6165	35942	53913	6165	35942	53913
88	528	979	1448	528	1152	1704	1418	2150	3918	1418	2150	3918	1069	2826	5445	1069	2826	7260	83	93	112	83	93	112	6269	36848	55272	6269	36848	55272
89	534	989	1464	534	1164	1722	1418	2150	3924	1418	2150	3924	1069	2826	5491	1069	2826	7320	83	93	113	83	93	113	6373	37754	56631	6373	37754	56631
90	540	1000	1478	540	1176	1739	1418	2150	3929	1418	2150	3929	1069	2826	5534	1069	2826	7378	83	93	113	83	93	113	6477	38660	57990	6477	38660	57990
91	546	1010	1493	546	1188	1757	1418	2150	3933	1418	2150	3933	1069	2826	5575	1069	2826	7433	83	93	113	83	93	113	6581	39566	59349	6581	39566	59349
92	552	1020	1508	552	1200	1774	1418	2150	3937	1418	2150	3937	1069	2826	5615	1069	2826	7487	83	93	113	83	93	113	6685	40472	60708	6685	40472	60708
93	558	1030	1523	558	1212	1792	1418	2150	3940	1418	2150	3940	1069	2826	5654	1069	2826	7537	83	93	113	83	93	113	6789	41378	62067	6789	41378	62067
94	564	1040	1539	564	1224	1810	1418	2150	3942	1418	2150	3942	1069	2826	5690	1069	2826	7586	83	93	113	83	93	113	6893	42284	63426	6893	42284	63426
95	570	1051	1553	570	1236	1827	1418	2150	3943	1418	2150	3943	1069	2826	5724	1069	2826	7632	83	93	113	83	93	113	6997	43190	64785	6997	43190	64785
96	576	1061	1568	576	1248	1845	1418	2150	3944	1418	2150	3944	1069	2826	5756	1069	2826	7675	83	93	113	83	93	113	7101	44096	66144	7101	44096	66144
97	582	1071	1583	582	1260	1862	1418	2150	3944	1418	2150	3944	1069	2826	5788	1069	2826	7717	83	93	113	83	93	113	7205	45002	67503	7205	45002	67503
98	588	1081	1598	588	1272	1880	1418	2150	3944	1418	2150	3944	1069	2826	5817	1069	2826	7756	83	93	113	83	93	113	7309	45908	68862	7309	45908	68862
99	594	1091	1613	594	1284	1898	1418	2150	3944	1418	2150	3944	1069	2826	5844	1069	2826	7792	83	93	113	83	93	113	7413	46814	70221	7413	46814	70221
100	600	1102	1628	600	1296	1915	1079	1890	3978	1079	1890	3978	982	2709	5930	982	2709	7907	61	81	113	61	81	113	7517	47720	71580	7517	47720	71580
101	606	1112	1643	606	1308	1933	1090	1908	4016	1090	1908	4016	999	2744	6017	999	2744	8022	62	82	115	62	82	115	7621	48626	72939	7621	48626	72939
102	612	1122	1658	612	1320	1950	1101	1926	4054	1101	1926	4054	1016	2777	6103	1016	2777	8137	62	82	115	62	82	115	7725	49532	74298	7725	49532	74298
103	618	1132	1673	618	1332	1968	1112	1944	4092	1112	1944	4092	1033	2812	6189	1033	2812	8252	63	84	117	63	84	117	7829	50438	75657	7829	50438	75657
104	624	1142	1688	624	1344	1986	1123	1962	4130	1123	1962	4130	1051	2845	6275	1051	2845	8367	63	84	117	63	84	117	7933	51344	77016	7933	51344	77016
105	630	1153	1703	630	1356	2003	1134	1980	4168	1134	1980	4168	1068	2880	6362	1068	2880	8482	64	85	118	64	85	118	8037	52250	78375	8037	52250	78375
106	636	1163	1718	636	1368	2021	1145	1998	4206	1145	1998	4206	1085	2915	6448	1085	2915	8597	65	86	120	65	86	120	8141	53156	79734	8141	53156	79734
107	642	1173	1732	642	1380	2038	1156	2016	4244	1156	2016	4244	1103	2948	6534	1103	2948	8712	65	86	120	65	86	120	8245	54062	81093	8245	54062	81093
108	648	1183	1748	648	1392	2056	1167	2034	4282	1167	2034	4282	1120	2983	6620	1120	2983	8827	66	88	122	66	88	122	8349	54968	82452	8349	54968	82452
109	654	1193	1763	654	1404	2074	1178	2052	4320	1178	2052	4320	1137	3016	6707	1137	3016	8942	67	89	124	67	89	124	8453	55874	83811	8453	55874	83811
110	2100	2100	2100	2100	2100	2100	6532	6532	6532	6532	6532	6532	10000	10000	10000	10000	10000	10000	130	130	130	130	130	130	160000	160000	160000	160000	160000	160000
